Event.Id,Event.Date,Country,Injury.Severity,Aircraft.damage,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Total.Injuries,Estimated.Total.Passengers,Serious.Fatal.Injury.Rate,Aircraft.Destroyed,Unique_Aircraft_Type
20001214X42478,1983-03-18,United States,Incident,minor,BOEING,747,No,4.0,turbo fan,,0,0,0,588,vmc,0,588,0.0,0,BOEING 747
20001214X42331,1983-03-20,United States,Fatal(1),destroyed,PIPER,PA-28-140,No,1.0,reciprocating,personal,1,1,0,0,imc,2,2,1.0,1,PIPER PA-28-140
20001214X42672,1983-04-02,United States,Fatal(1),none,DEHAVILLAND,DHC-6,No,2.0,turbo prop,skydiving,1,0,0,4,vmc,1,5,0.2,0,DEHAVILLAND DHC-6
20001214X44675,1983-09-20,United States,Incident,minor,DEHAVILLAND,DHC-6,No,2.0,turbo prop,unknown,0,0,0,12,vmc,0,12,0.0,0,DEHAVILLAND DHC-6
20001214X45013,1983-11-08,United States,Incident,minor,BOEING,727-200,No,3.0,turbo fan,unknown,0,0,0,100,vmc,0,100,0.0,0,BOEING 727-200
20001214X45188,1983-11-13,United States,Non-Fatal,substantial,BEECH,C35,No,1.0,reciprocating,personal,0,0,0,1,vmc,0,1,0.0,0,BEECH C35
20001214X45339,1983-12-22,United States,Non-Fatal,substantial,CESSNA,180K,No,1.0,reciprocating,personal,0,0,0,1,vmc,0,1,0.0,0,CESSNA 180K
20001214X38957,1984-03-14,United States,Non-Fatal,substantial,BEECH,99,No,2.0,turbo prop,unknown,0,0,0,1,vmc,0,1,0.0,0,BEECH 99
20001214X39537,1984-05-11,United States,Incident,minor,BOEING,747,No,4.0,turbo fan,unknown,0,0,0,1,unk,0,1,0.0,0,BOEING 747
20001214X40033,1984-06-11,United States,Non-Fatal,substantial,PIPER,PA-23-250,No,2.0,reciprocating,personal,0,0,0,4,vmc,0,4,0.0,0,PIPER PA-23-250
20001214X40407,1984-07-03,United States,Fatal(1),destroyed,PIPER,PA-18-150,No,1.0,reciprocating,aerial application,1,0,0,0,vmc,1,1,1.0,1,PIPER PA-18-150
20001214X41647,1984-11-09,United States,Non-Fatal,substantial,CESSNA,R172E,No,1.0,reciprocating,personal,0,0,0,1,vmc,0,1,0.0,0,CESSNA R172E
20001214X41706,1984-12-30,United States,Fatal(1),destroyed,CESSNA,182A,No,1.0,reciprocating,skydiving,1,0,0,0,vmc,1,1,1.0,1,CESSNA 182A
20001214X35509,1985-01-14,United States,Non-Fatal,destroyed,CESSNA,182Q,No,1.0,reciprocating,personal,0,1,1,0,vmc,2,2,0.5,1,CESSNA 182Q
20001214X36510,1985-05-13,United States,Non-Fatal,destroyed,CESSNA,T303,No,2.0,reciprocating,positioning,0,1,0,0,vmc,1,1,1.0,1,CESSNA T303
20001214X36887,1985-06-11,United States,Fatal(1),destroyed,CESSNA,152,No,1.0,reciprocating,instructional,1,1,4,0,vmc,6,6,0.3333333333333333,1,CESSNA 152
20001214X37356,1985-08-16,United States,Incident,substantial,CESSNA,441,No,2.0,turbo prop,business,0,0,0,4,vmc,0,4,0.0,0,CESSNA 441
20001214X37718,1985-09-29,United States,Fatal(17),destroyed,CESSNA,208,No,1.0,turbo prop,skydiving,17,0,0,0,vmc,17,17,1.0,1,CESSNA 208
20001214X38121,1985-10-11,United States,Fatal(1),destroyed,DEHAVILLAND,DHC-6,No,2.0,turbo prop,unknown,1,0,0,0,vmc,1,1,1.0,1,DEHAVILLAND DHC-6
20001214X38167,1985-11-01,United States,Fatal(2),destroyed,CESSNA,208,No,1.0,turbo prop,unknown,2,2,0,0,vmc,4,4,1.0,1,CESSNA 208
20001213X32792,1986-02-07,United States,Non-Fatal,substantial,DEHAVILLAND,DHC-6,No,2.0,turbo prop,unknown,0,0,0,9,imc,0,9,0.0,0,DEHAVILLAND DHC-6
20001213X33306,1986-04-08,United States,Non-Fatal,substantial,PIPER,PA-23-250,No,2.0,reciprocating,personal,0,0,0,2,vmc,0,2,0.0,0,PIPER PA-23-250
20001213X33276,1986-04-15,United States,Fatal(2),destroyed,GRUMMAN,G164A,No,1.0,reciprocating,aerial application,2,0,0,0,vmc,2,2,1.0,1,GRUMMAN G164A
20001213X33276,1986-04-15,United States,Fatal(2),destroyed,GRUMMAN,G164A,No,1.0,reciprocating,aerial application,2,0,0,0,vmc,2,2,1.0,1,GRUMMAN G164A
20001213X33697,1986-05-19,United States,Fatal(2),destroyed,CESSNA,TU206F,No,1.0,reciprocating,skydiving,2,0,1,0,vmc,3,3,0.6666666666666666,1,CESSNA TU206F
20001213X33697,1986-05-19,United States,Fatal(2),destroyed,CESSNA,152,No,1.0,reciprocating,instructional,2,0,1,0,vmc,3,3,0.6666666666666666,1,CESSNA 152
20001213X33489,1986-05-30,United States,Incident,none,GRUMMAN,F-14A,No,2.0,turbo jet,public aircraft,0,0,0,69,vmc,0,69,0.0,0,GRUMMAN F-14A
20001213X35219,1986-11-29,Puerto Rico,Non-Fatal,substantial,DEHAVILLAND,DHC-6,No,2.0,turbo prop,unknown,0,0,0,2,vmc,0,2,0.0,0,DEHAVILLAND DHC-6
20001213X30060,1987-01-15,United States,Fatal(10),destroyed,MOONEY,M-20C,No,1.0,reciprocating,instructional,10,0,0,0,vmc,10,10,1.0,1,MOONEY M-20C
20001213X30086,1987-01-16,United States,Fatal(1),destroyed,CESSNA,208,No,1.0,turbo prop,unknown,1,0,0,0,vmc,1,1,1.0,1,CESSNA 208
20001213X30244,1987-02-14,Mexico,Fatal(1),none,BOEING,707-323B,No,4.0,turbo jet,unknown,1,0,3,131,unk,4,135,0.007407407407407408,0,BOEING 707-323B
20001213X30820,1987-04-02,United States,Non-Fatal,substantial,PIPER,PA 16,No,,,personal,0,0,0,1,vmc,0,1,0.0,0,PIPER PA 16
20001213X31830,1987-08-04,United States,Non-Fatal,substantial,DEHAVILLAND,DHC-6,No,2.0,turbo prop,unknown,0,0,0,11,vmc,0,11,0.0,0,DEHAVILLAND DHC-6
20001213X31904,1987-08-09,United States,Incident,none,BOEING,747,No,4.0,turbo fan,unknown,0,0,0,528,vmc,0,528,0.0,0,BOEING 747
20001213X32079,1987-09-04,United States,Non-Fatal,substantial,CESSNA,208,No,1.0,turbo prop,unknown,0,0,1,0,vmc,1,1,0.0,0,CESSNA 208
20001213X32456,1987-11-18,United States,Non-Fatal,substantial,CESSNA,208,No,1.0,turbo prop,unknown,0,0,0,4,vmc,0,4,0.0,0,CESSNA 208
20001213X32647,1987-12-19,United States,Non-Fatal,substantial,CESSNA,208,No,1.0,turbo prop,unknown,0,0,2,8,vmc,2,10,0.0,0,CESSNA 208
20001213X25245,1988-03-27,United Kingdom,Fatal(1),destroyed,PIPER,PA-38,No,0.0,unknown,instructional,1,0,0,0,unk,1,1,1.0,1,PIPER PA-38
20001213X25425,1988-04-05,United States,Non-Fatal,substantial,BEECH,B90,No,2.0,turbo prop,unknown,0,0,0,5,imc,0,5,0.0,0,BEECH B90
20001213X25441,1988-04-14,Netherlands,Incident,minor,BOEING,747,No,0.0,unknown,unknown,0,0,0,0,unk,0,,,0,BOEING 747
20001213X25535,1988-04-16,Costa Rica,Non-Fatal,none,BOEING,757-225,No,2.0,unknown,,0,1,0,192,unk,1,193,0.0051813471502590676,0,BOEING 757-225
20001213X25661,1988-05-02,Japan,Incident,minor,BOEING,747-123,No,4.0,turbo fan,unknown,0,0,0,258,vmc,0,258,0.0,0,BOEING 747-123
20001213X26456,1988-08-01,United States,Non-Fatal,substantial,CESSNA,150K,No,1.0,reciprocating,unknown,0,0,0,1,vmc,0,1,0.0,0,CESSNA 150K
20001213X26459,1988-08-07,United States,Non-Fatal,substantial,PIPER,PA-28-180,No,1.0,reciprocating,ferry,0,0,1,0,vmc,1,1,0.0,0,PIPER PA-28-180
20001213X27315,1988-11-14,Panama,Non-Fatal,none,AIRBUS,A-300B4-203,No,0.0,unknown,unknown,0,1,4,222,vmc,5,227,0.004405286343612335,0,AIRBUS A-300B4-203
20001213X27362,1988-12-04,United States,Non-Fatal,substantial,DEHAVILLAND,DHC-6,No,2.0,turbo prop,unknown,0,0,0,3,imc,0,3,0.0,0,DEHAVILLAND DHC-6
20001213X27446,1988-12-23,United States,Non-Fatal,none,BOEING,747SP-21,No,4.0,turbo fan,unknown,0,1,1,220,unk,2,222,0.0045045045045045045,0,BOEING 747SP-21
20001213X27392,1988-12-24,United States,Fatal(2),destroyed,CESSNA,310R,No,2.0,reciprocating,positioning,2,0,0,0,vmc,2,2,1.0,1,CESSNA 310R
20001213X27515,1989-01-09,United States,Incident,minor,BOEING,747,No,4.0,turbo fan,unknown,0,0,0,441,vmc,0,441,0.0,0,BOEING 747
20001213X27530,1989-01-19,United States,Incident,minor,BOEING,757-225,No,2.0,turbo fan,unknown,0,0,0,111,vmc,0,111,0.0,0,BOEING 757-225
20001213X27565,1989-01-22,United States,Incident,minor,BOEING,707-323B,No,4.0,turbo fan,unknown,0,0,0,194,imc,0,194,0.0,0,BOEING 707-323B
20001213X28167,1989-04-27,United States,Fatal(3),destroyed,MAULE,M-5,No,1.0,reciprocating,other work use,3,0,0,0,imc,3,3,1.0,1,MAULE M-5
20001213X28339,1989-05-07,United States,Incident,none,BOEING,747,No,4.0,turbo fan,unknown,0,0,3,383,vmc,3,386,0.0,0,BOEING 747
20001213X28620,1989-06-15,United States,Non-Fatal,substantial,CESSNA,210L,No,1.0,reciprocating,personal,0,0,3,0,vmc,3,3,0.0,0,CESSNA 210L
20001213X28927,1989-07-03,United States,Non-Fatal,substantial,PIPER,"J3 ""CUB""",No,1.0,reciprocating,personal,0,0,1,0,vmc,1,1,0.0,0,"PIPER J3 ""CUB"""
20001213X28948,1989-07-30,United States,Fatal(7),destroyed,CESSNA,182B,No,1.0,reciprocating,other work use,7,0,0,0,vmc,7,7,1.0,1,CESSNA 182B
20001213X28948,1989-07-30,United States,Fatal(7),destroyed,BEECH,A36,No,1.0,reciprocating,skydiving,7,0,0,0,vmc,7,7,1.0,1,BEECH A36
20001213X28746,1989-07-30,United States,Non-Fatal,substantial,PIPER,PA-32-300,No,1.0,reciprocating,personal,0,0,0,4,vmc,0,4,0.0,0,PIPER PA-32-300
20001213X29277,1989-09-19,United States,Non-Fatal,substantial,DEHAVILLAND,DHC-6,No,2.0,turbo prop,business,0,0,0,5,vmc,0,5,0.0,0,DEHAVILLAND DHC-6
20001213X29510,1989-10-01,United States,Non-Fatal,substantial,CESSNA,208,No,1.0,turbo prop,unknown,0,0,0,3,vmc,0,3,0.0,0,CESSNA 208
20001213X29597,1989-10-06,United States,Fatal(5),destroyed,CESSNA,208,No,1.0,turbo prop,personal,5,0,0,0,imc,5,5,1.0,1,CESSNA 208
20001213X29904,1989-12-17,United States,Fatal(1),substantial,CESSNA,182,No,1.0,reciprocating,unknown,1,0,1,1,vmc,2,3,0.3333333333333333,0,CESSNA 182
20001212X22492,1990-01-28,United States,Non-Fatal,destroyed,TAYLORCRAFT,BC12D,No,1.0,unknown,personal,0,0,0,2,vmc,0,2,0.0,1,TAYLORCRAFT BC12D
20001212X22480,1990-01-29,United States,Fatal(2),destroyed,CESSNA,208B,No,1.0,turbo prop,unknown,2,0,0,0,imc,2,2,1.0,1,CESSNA 208B
20001212X22619,1990-02-01,United States,Fatal(1),destroyed,PIPER,PA-28-181,No,1.0,reciprocating,personal,1,0,0,0,vmc,1,1,1.0,1,PIPER PA-28-181
20001212X22649,1990-03-16,United States,Non-Fatal,substantial,CESSNA,170B,No,1.0,reciprocating,personal,0,0,0,2,vmc,0,2,0.0,0,CESSNA 170B
20001212X22644,1990-03-29,United States,Non-Fatal,substantial,DEHAVILLAND,DHC-6,No,2.0,turbo prop,unknown,0,0,0,15,imc,0,15,0.0,0,DEHAVILLAND DHC-6
20001212X22846,1990-04-09,United States,Fatal(2),destroyed,CESSNA,172,No,1.0,reciprocating,unknown,2,0,0,7,vmc,2,9,0.2222222222222222,1,CESSNA 172
20001212X22846,1990-04-09,United States,Fatal(2),substantial,EMBRAER,EMB-120,No,2.0,turbo prop,unknown,2,0,0,7,vmc,2,9,0.2222222222222222,0,EMBRAER EMB-120
20001212X22966,1990-04-16,United States,Non-Fatal,substantial,EMBRAER,EMB-110,No,2.0,turbo prop,unknown,0,0,0,8,vmc,0,8,0.0,0,EMBRAER EMB-110
20001212X22992,1990-04-17,United States,Non-Fatal,substantial,CESSNA,150,No,1.0,reciprocating,instructional,0,0,0,2,vmc,0,2,0.0,0,CESSNA 150
20001212X22890,1990-04-30,Canada,Fatal(1),destroyed,BEECH,C99 AIRLINER,No,2.0,unknown,unknown,1,3,0,0,unk,4,4,1.0,1,BEECH C99 AIRLINER
20001212X23447,1990-06-28,United States,Non-Fatal,none,GRUMMAN,F-14A,No,2.0,turbo fan,other work use,0,0,1,3,vmc,1,4,0.0,0,GRUMMAN F-14A
20001212X23574,1990-07-05,United States,Fatal(1),destroyed,PIPER,PA-28-180,No,1.0,reciprocating,business,1,1,0,0,vmc,2,2,1.0,1,PIPER PA-28-180
20001212X23773,1990-07-12,United States,Non-Fatal,substantial,PIPER,PA-28-140,No,1.0,reciprocating,personal,0,0,2,0,vmc,2,2,0.0,0,PIPER PA-28-140
20001212X23667,1990-07-27,Malaysia,Non-Fatal,none,MCDONNELL DOUGLAS,DC-10-30,No,0.0,unknown,unknown,0,1,3,3,unk,4,7,0.14285714285714285,0,MCDONNELL DOUGLAS DC-10-30
20001212X24061,1990-08-22,United States,Non-Fatal,substantial,DEHAVILLAND,DHC-6,No,2.0,turbo prop,business,0,0,0,3,vmc,0,3,0.0,0,DEHAVILLAND DHC-6
20001212X24345,1990-09-14,United States,Fatal(2),destroyed,CESSNA,152,No,1.0,reciprocating,personal,2,0,0,0,imc,2,2,1.0,1,CESSNA 152
20001212X24349,1990-09-23,United States,Fatal(4),destroyed,PIPER,PA-24-260,No,1.0,reciprocating,personal,4,0,0,0,vmc,4,4,1.0,1,PIPER PA-24-260
20001212X24393,1990-10-06,United States,Non-Fatal,substantial,CESSNA,185B,No,1.0,reciprocating,unknown,0,0,0,1,vmc,0,1,0.0,0,CESSNA 185B
20001212X24604,1990-11-07,United States,Non-Fatal,substantial,PIPER,PA-23-250,No,2.0,reciprocating,personal,0,0,0,3,imc,0,3,0.0,0,PIPER PA-23-250
20001212X24613,1990-11-23,United States,Fatal(1),destroyed,BEECH,B55,No,2.0,reciprocating,personal,1,0,0,0,vmc,1,1,1.0,1,BEECH B55
20001212X24824,1990-12-15,United States,Fatal(1),substantial,BEECH,D50C,No,2.0,reciprocating,skydiving,1,0,1,4,vmc,2,6,0.16666666666666666,0,BEECH D50C
20001212X24710,1990-12-21,United States,Fatal(1),destroyed,CESSNA,208,No,1.0,turbo prop,unknown,1,0,0,0,vmc,1,1,1.0,1,CESSNA 208
20001212X24816,1990-12-31,United States,Fatal(2),substantial,CESSNA,182B,No,1.0,reciprocating,skydiving,2,1,1,0,vmc,4,4,0.75,0,CESSNA 182B
20001212X16387,1991-01-25,United States,Non-Fatal,substantial,PIPER,PA-34,No,0.0,unknown,public aircraft,0,0,0,1,unk,0,1,0.0,0,PIPER PA-34
20001212X16418,1991-02-03,United States,Fatal(7),destroyed,CESSNA,182,No,1.0,reciprocating,skydiving,7,0,0,0,vmc,7,7,1.0,1,CESSNA 182
20001212X16418,1991-02-03,United States,Fatal(7),destroyed,PIPER,PA-28-140,No,1.0,reciprocating,instructional,7,0,0,0,vmc,7,7,1.0,1,PIPER PA-28-140
20001212X16415,1991-02-24,United States,Fatal(1),destroyed,CESSNA,172N,No,1.0,reciprocating,personal,1,0,0,0,imc,1,1,1.0,1,CESSNA 172N
20001212X16539,1991-03-18,United States,Fatal(2),destroyed,PIPER,PA-28-201T,No,1.0,reciprocating,business,2,0,0,0,imc,2,2,1.0,1,PIPER PA-28-201T
20001212X17360,1991-06-06,United States,Incident,minor,BOEING,727-214,No,3.0,turbo fan,unknown,0,0,0,156,vmc,0,156,0.0,0,BOEING 727-214
20001212X17597,1991-07-11,United States,Fatal(1),substantial,CESSNA,182,No,1.0,reciprocating,skydiving,1,0,0,4,vmc,1,5,0.2,0,CESSNA 182
20001212X17738,1991-08-07,United States,Non-Fatal,substantial,BELLANCA,7GCBC,No,1.0,reciprocating,personal,0,0,1,1,vmc,1,2,0.0,0,BELLANCA 7GCBC
20001212X17742,1991-08-09,United States,Non-Fatal,substantial,PIPER,PA-18,No,1.0,reciprocating,personal,0,0,0,1,vmc,0,1,0.0,0,PIPER PA-18
20001212X18000,1991-09-03,United States,Non-Fatal,substantial,CESSNA,208,No,1.0,turbo prop,unknown,0,0,0,1,vmc,0,1,0.0,0,CESSNA 208
20001212X18014,1991-09-19,United States,Non-Fatal,substantial,PIPER,PA-18-150,No,1.0,reciprocating,,0,0,0,1,vmc,0,1,0.0,0,PIPER PA-18-150
20001212X18228,1991-10-26,United States,Non-Fatal,substantial,DEHAVILLAND,DHC-6,No,2.0,turbo prop,unknown,0,0,0,5,vmc,0,5,0.0,0,DEHAVILLAND DHC-6
20001212X18289,1991-10-27,United States,Fatal(2),destroyed,BEECH,A36,No,1.0,reciprocating,personal,2,0,0,0,vmc,2,2,1.0,1,BEECH A36
20001212X18454,1991-11-29,United States,Non-Fatal,substantial,CESSNA,120,No,1.0,reciprocating,personal,0,0,0,1,vmc,0,1,0.0,0,CESSNA 120
20001212X18577,1991-12-12,Canada,Incident,minor,BOEING,B-747-121,No,0.0,unknown,unknown,0,0,0,0,vmc,0,,,0,BOEING B-747-121
20001212X18531,1991-12-13,United States,Fatal(1),destroyed,PIPER,"PA-31T3, T1040",No,2.0,turbo prop,,1,0,0,0,imc,1,1,1.0,1,"PIPER PA-31T3, T1040"
20001212X18613,1991-12-20,United States,Fatal(2),destroyed,BEECH,58P,No,2.0,reciprocating,business,2,0,0,0,imc,2,2,1.0,1,BEECH 58P
20001211X14468,1992-04-22,United States,Fatal(16),destroyed,DEHAVILLAND,DHC-6-200,No,2.0,turbo prop,skydiving,16,6,0,0,vmc,22,22,1.0,1,DEHAVILLAND DHC-6-200
20001211X15678,1992-09-07,United States,Fatal(12),destroyed,BEECH,C-45H,No,2.0,reciprocating,skydiving,12,0,0,0,vmc,12,12,1.0,1,BEECH C-45H
20001211X16223,1992-12-13,United States,Non-Fatal,substantial,CESSNA,T210,No,1.0,reciprocating,personal,0,0,1,0,vmc,1,1,0.0,0,CESSNA T210
20001211X16199,1992-12-29,Mexico,Non-Fatal,substantial,PIPER,PA-34-200,No,0.0,unknown,personal,0,0,0,2,vmc,0,2,0.0,0,PIPER PA-34-200
20001211X12054,1993-04-23,United States,Fatal(2),destroyed,PIPER,PA-18-150,No,1.0,reciprocating,business,2,0,0,0,vmc,2,2,1.0,1,PIPER PA-18-150
20001211X13023,1993-08-02,United States,Non-Fatal,substantial,CESSNA,208,No,1.0,turbo prop,unknown,0,0,1,0,vmc,1,1,0.0,0,CESSNA 208
20001211X13214,1993-08-14,United States,Fatal(1),destroyed,CESSNA,182A,No,1.0,reciprocating,skydiving,1,4,0,0,vmc,5,5,1.0,1,CESSNA 182A
20001211X13180,1993-08-18,PACIFIC OCEAN,Non-Fatal,destroyed,PIPER,PA-34-220,No,1.0,reciprocating,ferry,0,0,0,1,vmc,0,1,0.0,1,PIPER PA-34-220
20001211X13402,1993-09-04,United States,Fatal(1),minor,BEECH,C-45H,No,2.0,reciprocating,skydiving,1,0,0,10,vmc,1,11,0.09090909090909091,0,BEECH C-45H
20001211X13354,1993-09-25,United States,Non-Fatal,substantial,CESSNA,172,No,1.0,reciprocating,aerial observation,0,0,0,2,vmc,0,2,0.0,0,CESSNA 172
20001211X13771,1993-11-13,Mexico,Non-Fatal,substantial,PIPER,PA-32R-300,No,1.0,reciprocating,personal,0,1,3,1,vmc,4,5,0.2,0,PIPER PA-32R-300
20001211X13695,1993-11-28,United States,Fatal(1),destroyed,PIPER,PA32R-301,No,1.0,reciprocating,personal,1,0,0,0,imc,1,1,1.0,1,PIPER PA32R-301
20001211X13814,1993-12-12,United States,Non-Fatal,substantial,PIPER,PA-32,No,1.0,reciprocating,unknown,0,0,0,5,vmc,0,5,0.0,0,PIPER PA-32
20001206X00618,1994-01-02,United States,Fatal(5),destroyed,CESSNA,172N,No,1.0,reciprocating,instructional,5,0,0,0,vmc,5,5,1.0,1,CESSNA 172N
20001206X00742,1994-02-22,Denmark,Non-Fatal,substantial,BEECH,2000 (STARSHIP),No,,unknown,business,0,0,0,6,unk,0,6,0.0,0,BEECH 2000 (STARSHIP)
20001206X00889,1994-03-01,Japan,Non-Fatal,substantial,BOEING,747,No,4.0,turbo fan,unknown,0,0,0,250,vmc,0,250,0.0,0,BOEING 747
20001206X01098,1994-04-03,United States,Non-Fatal,minor,CESSNA,208,No,1.0,turbo prop,unknown,0,1,1,14,vmc,2,16,0.0625,0,CESSNA 208
20001206X01822,1994-07-16,United States,Fatal(4),destroyed,CESSNA,K172R,No,1.0,reciprocating,skydiving,4,0,0,0,vmc,4,4,1.0,1,CESSNA K172R
20001206X02019,1994-08-25,United States,Non-Fatal,substantial,CESSNA,150,No,1.0,reciprocating,personal,0,0,1,0,vmc,1,1,0.0,0,CESSNA 150
20001206X01926,1994-08-31,United States,Non-Fatal,substantial,CESSNA,208,No,1.0,turbo prop,unknown,0,0,0,2,vmc,0,2,0.0,0,CESSNA 208
20001206X02310,1994-09-14,Canada,Non-Fatal,substantial,PIPER,PA-28-140,No,,unknown,personal,0,0,0,1,vmc,0,1,0.0,0,PIPER PA-28-140
20001206X02325,1994-09-20,Bahamas,Non-Fatal,substantial,PIPER,PA32R-301T,No,,unknown,personal,0,0,0,6,vmc,0,6,0.0,0,PIPER PA32R-301T
20001206X02234,1994-09-23,Iceland,Fatal(2),destroyed,AERO COMMANDER,500S,No,,unknown,unknown,2,0,0,0,unk,2,2,1.0,1,AERO COMMANDER 500S
20001206X02621,1994-11-18,Mexico,Non-Fatal,substantial,PIPER,PA-32R-300,No,,unknown,personal,0,0,0,4,vmc,0,4,0.0,0,PIPER PA-32R-300
20001206X02737,1994-12-27,United States,Fatal(2),destroyed,PIPER,PA-28-140,No,1.0,reciprocating,business,2,0,0,0,vmc,2,2,1.0,1,PIPER PA-28-140
20001206X02711,1994-12-29,Turkey,Fatal(54),destroyed,BOEING,737-400,No,,unknown,unknown,54,21,0,0,imc,75,75,1.0,1,BOEING 737-400
20001207X02806,1995-01-02,United States,Non-Fatal,substantial,CESSNA,208,No,1.0,turbo prop,unknown,0,0,0,8,vmc,0,8,0.0,0,CESSNA 208
20001207X03179,1995-03-11,United States,Non-Fatal,substantial,PIPER,PA-28RT-201,No,1.0,reciprocating,personal,0,0,0,2,vmc,0,2,0.0,0,PIPER PA-28RT-201
